id_article,author,year
journals/apjor/DongCHG20,Xingju Cai,2020
journals/apjor/DongCHG20,Deren Han,2020
journals/apjor/DongCHG20,Zhili Ge,2020
journals/apjor/DuXX15,Donglei Du,2015
journals/apjor/DuXX15,Naihua Xiu,2015
journals/apjor/DuXX15,Dachuan Xu,2015
journals/apjor/CaoLW17,Qian Cao,2017
journals/apjor/CaoLW17,Yi Li,2017
journals/apjor/CaoLW17,Guohua Wan,2017
journals/apjor/AtabakiMN17,Mohammad Saeid Atabaki,2017
journals/apjor/AtabakiMN17,Mohammad Mohammadi 0002,2017
journals/apjor/AtabakiMN17,Bahman Naderi,2017
journals/apjor/ShiLF16,Ying Shi,2016
journals/apjor/ShiLF16,Xin Li,2016
journals/apjor/ShiLF16,Ping Fan,2016
journals/apjor/ChenZ17,Jianxin Chen,2017
journals/apjor/ChenZ17,Yong-Wu Zhou,2017
journals/apjor/Triki17,Chefi Triki,2017
journals/apjor/YangTZL17,Xixi Yang,2017
journals/apjor/YangTZL17,Jiyang Tan,2017
journals/apjor/YangTZL17,Hanjun Zhang,2017
journals/apjor/YangTZL17,Ziqiang Li,2017
journals/apjor/WangWW16,Zhenyou Wang,2016
journals/apjor/WangWW16,Cai-Min Wei,2016
journals/apjor/WangWW16,Yu-Bin Wu,2016
journals/apjor/AlmomaniA16,Mohammad H. Almomani,2016
journals/apjor/AlmomaniA16,Mahmoud H. Alrefaei,2016
journals/apjor/IzadikhahSA17,Mohammad Izadikhah,2017
journals/apjor/IzadikhahSA17,Reza Farzipoor Saen,2017
journals/apjor/IzadikhahSA17,Kourosh Ahmadi,2017
journals/apjor/RallabandiVR16,L. N. Pradeep Kumar Rallabandi,2016
journals/apjor/RallabandiVR16,Ravindranath Vandrangi,2016
journals/apjor/RallabandiVR16,Subba Rao Rachakonda,2016
journals/apjor/ZhangWQM18,Canrong Zhang,2018
journals/apjor/ZhangWQM18,Tao Wu 0004,2018
journals/apjor/ZhangWQM18,Mingyao Qi,2018
journals/apjor/ZhangWQM18,Lixin Miao,2018
journals/apjor/SenDM16,Dilip Kumar Sen,2016
journals/apjor/SenDM16,Saurav Datta,2016
journals/apjor/SenDM16,Siba Sankar Mahapatra,2016
journals/apjor/WangLZ17,Qing Wang,2017
journals/apjor/WangLZ17,Zhaojun Liu,2017
journals/apjor/WangLZ17,Yang Zhang,2017
journals/apjor/ChengMSB18,Xiaoying Cheng,2018
journals/apjor/ChengMSB18,Lifeng Mu,2018
journals/apjor/ChengMSB18,Yanhong Sun,2018
journals/apjor/ChengMSB18,Yiwen Bian,2018
journals/apjor/SharafiLJR20,Hamid Sharafi,2020
journals/apjor/SharafiLJR20,Farhad Hosseinzadeh Lotfi,2020
